"item_code","diamond_no","item_title","item_1","item_2","item_3","item_4","item_5","item_6"
1,"OCT188205D ","DAREDEVIL #611 2ND PTG NOTO VAR",3.99,1.7955,1.80,1,2,"MARVEL COMICS"
1,"JAN178347D ","DARK KNIGHT III MASTER RACE #2 (OF 9) 3RD PTG",5.99,2.6955,2.70,1,2,"DC COMICS"
1,"JAN178348D ","DARK KNIGHT III MASTER RACE #3 (OF 9) 3RD PTG",5.99,2.6955,2.70,1,2,"DC COMICS"
1,"JAN160219D ","DARK KNIGHT III MASTER RACE #4 (OF 8)",5.99,2.6955,2.70,1,2,"DC COMICS"
1,"NOV182062E ","FAITH DREAMSIDE #4 (OF 4) CVR B MEYNET",3.99,2.1147,2.11,1,2,"VALIANT ENTERTAINMENT LLC"
1,"OCT180665E ","GHOSTBUSTERS CROSSING OVER TP (C: 1-1-2)",24.99,12.4950,12.50,3,2,"IDW PUBLISHING"
1,"JAN192208F ","GRETEL #1 (OF 5) CVR A VITORINO (MR)",3.99,2.3142,2.31,1,2,"ZENESCOPE ENTERTAINMENT INC"
1,"AUG180534D ","HARLEY QUINN #52 FOIL",3.99,1.7955,1.80,1,2,"DC COMICS"
1,"DEC181060D ","IRON MAN BY FRACTION & LARROCA COMPLETE COLLECTION TP VOL 01",39.99,17.9955,18.00,3,2,"MARVEL COMICS"
1,"NOV182040E ","LIVEWIRE #2 CVR A POLLINA",3.99,2.1147,2.11,1,2,"VALIANT ENTERTAINMENT LLC"
1,"JUL180259D ","MAGIC ORDER #4 (OF 6) CVR A COIPEL (MR)",3.99,1.9950,2.00,1,2,"IMAGE COMICS"
1,"APR188350U ","MARVEL HEROES SHIELD VENOM CONTAINMENT UNIT PX LAVA LITE (O/",29.99,17.9940,17.99,7,2,""
1,"AUG189096U ","MARVEL INFINITY GAUNTLET HAND ACCESSORY (C: 1-1-2)",32.99,19.7940,19.79,8,2,""
1,"AUG188757I ","MONSTER HUNTER STANDARD MODEL PLUS 6PC BMB DIS VER 13 (C: 1-",83.94,54.5610,54.56,8,2,""
1,"AUG170401E ","MY LITTLE PONY LEGENDS OF MAGIC TP VOL 01",19.99,9.9950,10.00,3,2,"IDW PUBLISHING"
1,"NOV180079D ","PAPER GIRLS DLX ED HC VOL 02",34.99,17.4950,17.50,3,2,"IMAGE COMICS"
2,"JUL189289I ","POP STAR WARS HOLIDAY C-3PO VINYL FIG (C: 1-1-2)",10.99,7.1435,14.29,10,2,""




2,"JUL189291I ","POP STAR WARS HOLIDAY CHEWBACCA VINYL FIG (C: 1-1-2)",10.99,7.1435,14.29,10,2,""
2,"JUL189292I ","POP STAR WARS HOLIDAY DARTH VADER VINYL FIG (C: 1-1-2)",10.99,7.1435,14.29,10,2,""
2,"JUL189293I ","POP STAR WARS HOLIDAY R2D2 VINYL FIG (C: 1-1-2)",10.99,7.1435,14.29,10,2,""
2,"JUL189294I ","POP STAR WARS HOLIDAY YODA VINYL FIG (C: 1-1-2)",10.99,7.1435,14.29,10,2,""
1,"NOV188448D ","PRISM STALKER TP VOL 01 (NEW PTG)",16.99,8.4950,8.50,3,2,"IMAGE COMICS"
1,"NOV180174D ","PRODIGY #2 (OF 6) CVR A ALBUQUERQUE (MR)",3.99,1.9950,2.00,1,2,"IMAGE COMICS"
1,"JUL170903D ","SPAWN HELL ON EARTH TP",17.99,8.9950,9.00,3,2,"IMAGE COMICS"
2,"JAN191061D ","STAR WARS #63",3.99,1.7955,3.59,1,2,"MARVEL COMICS"
1,"SEP180255D ","STRANGER THINGS #3 CVR A BRICLOT",3.99,1.9950,2.00,1,2,"DARK HORSE COMICS"
1,"JAN190641D ","WILD STORM #21",3.99,1.7955,1.80,1,2,"DC COMICS"
1,"OCT180665E ","GHOSTBUSTERS CROSSING OVER TP (C: 1-1-2)",24.99,12.4950,12.50,3,2,"IDW PUBLISHING"
1,"JAN191063D ","STAR WARS AOR PADME AMIDALA #1",3.99,1.7955,1.80,1,2,"MARVEL COMICS"
1,"JAN191063D ","STAR WARS AOR PADME AMIDALA #1",3.99,1.7955,1.80,1,2,"MARVEL COMICS"
1,"JAN190641D ","WILD STORM #21",3.99,1.7955,1.80,1,2,"DC COMICS"
